,content,date,rating
0,"What can be said, that hasn't already been said about the President?Nothing in this book will surprise anyone who has been following the trials and tribulations of the 45th President of the United States, Donald J. Trump.  His supporters will cry foul, and say some of it isn't true -- and some of it might not be -- but if even 10% of what is in this book is true, holy crap!Reading this book is like being forced to eat an entire 5 gallon carton of ice cream in one sitting.  It is yummy and you don't want to stop.  And then you do want to stop but you can't, because the book has you roped in.  You should feel good, but in reality you feel awful, because of what you just did to yourself.So tread lightly, dear reader.  You won't want to put the book down, but you won't be better off for reading it, either.  If you don't like it, do something productive -- stop eating the ice cream and get off the couch.  Make America AMERICA again!",January-5-2018,5
1,I got the kindle version this morning. I probably would not have bought this. I will probably see most of this book for free as the media tears into it over the next few weeks. My decision to purchase was based solely on Trump's furious efforts to keep it from coming out. It was well worth 15$ to do my part to keep this at the top of the best-sellers list.,January-5-2018,5
2,"I am not a phony billionaire.  I am a genuine hourly worker who can afford $15 to show Trump that he can't order a book out of publication in America.  Also, I'm a voter.",January-5-2018,5
3,"Dear. Mr. Wolff, please write another, this one much more informative. Pretend itâ€™s fiction, but we will know.",February-11-2018,5
4,"I like the book, and it coincides with Trumpâ€™s twitter timeline. So if you have been following that, then you are in the know.However, and it could be just me....I felt like it was a book about Bannon?That being said, I cannot wait for part II! (Thereâ€™s going to be a part II, right? - LOL)",January-16-2018,5
5,"Expertly written but every 100th word you'll need a dictionary.  It makes for a much longer read and it's disruptive.  Otherwise, great book !!!!",January-23-2018,5
6,"Wolff's expose of the early months in Trump's White House is a fascinating and necessary read for anyone who wants to know why the administration has operated the way it has.  The pattern of reckless lies and lowbrow behavior evident in the Oval Office may be hard to fathom, but Wolff does a good job of explaining the personalities -- and the personality cult -- surrounding Donald J. Trump.  This sheds a lot of light on the current situation in Washington.Filled with detailed descriptions of events from the early months of the administration, ""Fire and Fury"" provides plenty of ""aha"" insights to add context to the news coverage inside the Beltway.  Key to understanding the prevarications and inconsistencies of Trump is knowing that he surrounded himself with warring factions -- Bannon, ""Jarvanka"", Priebus -- whose conflicting interests were either rebuffed or embraced by a President who lacks both the experience and the wherewithal to make effective policy decisions.""Fire and Fury"" may not lift the dark cloud of the Trump administration, but it goes a long way to help people understand why the current President has struggled in the office, while doing so much damage to the country in the process.",February-25-2018,5
7,"I read every word of the kindle version and enjoyed it very much!  Laughed a lot and probably should have cried as it is a story well told. It is hard to say how much is true and how much is made up but it rings true based on what we know about DJT and his cast of characters.  There are clearly factual errors, misspellings, and other faults here, as is can always be found in something rushed to press but I would still heartily recommend it to someone who enjoys this â€œbehind the scenes kind of thingâ€ù. Unlike the author, and many of the commentators here I disagree that Trump Presidency is heading off a cliff or into a wall as many suggest as a result of his disintegrating mental health and the dysfunction of his office. While it may be true that he is a total nut case I donâ€™t think it correlates at all with what can be accomplished while he is in office. In addition, I think that if HRC were president a similar story could have been told- possibly by the same author. The thing that strikes me the most and is almost comical if it wasnâ€™t so sad is the level of greed and malice that politicians can possess. And in a world where they are so concerned with themselves and their own fortunes the plight of the average good American never comes on the radar. As was said in a similar time long ago as people starved in the streets- â€œLet them eat cake!â€ù  This title is currently all the rage but in short order it will be forgotten. Happy reading!!",January-8-2018,5
8,"This book doesn't wander far from what my expectations of this administration is up to. It's utterly gross, and yet, like the proverbial train wreck, you CANNOT look away. I read the entire thing this morning, and I'm going to have to go back and read it again. To be sure that I actually read all the )#&%# I thought I did, and did such #(%&*# actually make it into a work about how the administration is going about its daily business.This is a constitutional crisis. I have read, already, all the attacks on the author. But everything he says shores up my POV about the administration - they were not prepared, they are a bumbling roadside attraction doing anything they can to keep the audience's attention. When whatever the current shill is turns out not to be what they want you to see, they bumble and fall over one another, inflaming hatred of some ""other"" - from the top down - to shift your attention.I have been watching, enjoying, and debating politics since I was ten. I love to see what current administrations are doing, and even if I voted for them, I'll critique. No one's perfect. But this - good grief. I have been ashamed, from time to time, at some of the actions of past presidents. But I am constantly, 150%, 24/7 ashamed of this administration. There is nothing they do that doesn't hurt, lash out, or inflict damage on some part of the American people. Outside of that group the pres wants to be part of, the billionaires, everyone else is merely fodder.And lord help you if you are anyone other than white and male. Because you're nothing.All this book has done is reinforce what I thought I was seeing. While that makes me sad, angry, and worried - it also reinforces that we must be active, and not complacent - we must, as a nation, go vote for people who will support this nation, and the ideals it has survived on. We have to bring back people who are not the sellout pieces of trash that is our current legislative bodies.Most of all, this book is a warning. Our nation is under siege. If you don't see it - it's because you don't want to, or feel that the siege will benefit you in some fashion. It won't. If it does, it's temporary, and you will pay the piper, and it will hurt. This book should show you that. The pres has loyalty and concern for one person - himself. Anyone else is disposable. That includes the nation he supposedly represents.I suggest you read it. And put down the partisanship, and read it with eyes of ""Is this who I want to represent me?"" Even if only half of this is true, we are in a world of hurt. WE deserve better. The pres and all his sycophantic horde deserve to be bounced out on their backsides. Which begins with the 2018 elections.",January-5-2018,5
9,"While there are a fair number of editing errors in this book relating to grammar, dates, and the spelling of names, theyâ€™re irrelevant. The book was likely rushed into print before legal action could block its distribution. With an initial print run of 150,000 copies, and current sales of ten times that number, thereâ€™s little doubt the public found it valuable reading. You can fact check it, as I did, and youâ€™ll find the facts pretty much on target, with the previously noted caveat. The issue is that roughly 40% of the book cannot be fact checked, being comprised of overheard conversations and conjectures on the part of the author. So it goes. In light of demonstrated behavior, most of the undocumented material rings true, and casts a harsh light on the construction of the Trump government and the people who comprise(d) itâ€” some of them very briefly. So, read it like a novel, or read it like non-fictionâ€” then make up your own mind.",January-26-2018,4
10,"Fire and Fury should be widely distributed and widely read. Some of the book is trashy, but that is a reflection of the sleaziness and crudeness of the president and his awful administration. Perhaps some of it isn't true, but since our president has lied at least 2,000 times during his first year, he can't tell you what is false or not. Actually I doubt that Trump has the intellectual capacity or focus to read a 300-page book. Michael Wolff could have used a good copy editor because his sentences are so convoluted and so overpunctuated I had to re-read some paragraphs. Wolff doesn't really like anyone or any group so in that sense, his book is a not hit piece for the Democrats. The question is ""how long can this train wreck continue?""",January-13-2018,5
11,"On point and that Fly-on-the-Wall feeling was there on every page ...I got it on my Kindle that first day it was rushed to market ...And just in time ... I believe we will look back to recognize how serindipitous a situation this turned out to be ... the right guy in the right place ...Michael Wolff is my almost perfect hero of the year ... a truly observant and insightful feeling and admittedly crafty human being ...... and there was enough differentiation between hearsay and direct interviews, and witnessing it himself so that was clear, yet without interrupting a well-told yarn that was probably not even much of a nedd for exagerration ... well this entire true story is one for the books, many books ... this must be in anyone's collection on this subject forever, right on the top ...Although Mika B decided to kick Michael Wolffe off Morning Joe recently ... I think that was a good skirmish she won, he can handle that criticism, and they will heal, lolMchael Wolffe just earned many accolades and, I hope sudden fortune with this absorbing log of the latter campaign, transition and White House event.You will see, as the months march on [)  the truth will come out as indicated ... well done sir  ...Have Discernment always folks ... and Heart ...",February-6-2018,5
12,"I've seen complaints about the author's writing skills, but I found the book to be well-done. What's upsetting is the view we get of our President and White House and cabinet staff. Some say parts of the book aren't accurate, but if only half of the book is on target it's alarming. The corrections I've seen in the press are minor compared to the overall text.",February-7-2018,5
13,Everything this book exposes this disgusting repulsive bully who pretends to be a United States President. The Genius he claims to be has made a mockery out of the American political system and it is exposed by this writer. The fun thing about this book is the names have not been changed to protect the innocent because there simply were none as the writer has shown. Worth the read.,January-31-2018,5
14,"I thoroughly enjoyed Michael Wolff's portrait of a shallow, vain, semi-literate Mr. Trump.",January-26-2018,5
15,"Although much of what I read in this book was what I always suspected, his succinct narrative confirms it all. Wolfe paints a vivid picture of this disastrous administration and the people inhabiting it. Itâ€™s a great read.",January-13-2018,5
16,"I'm sure that the criticisms of Michael Wolff's work are legitimate: that he's journalistically sloppy, plays fast-and-loose with facts, and shapes reality to suit his own biases. In that respect, he sounds very much like the subject of this excellent, top-notch book -- a book which, despite its problems, nevertheless rings absolutely truthful (or, as Stephen Colbert might put it, ""truthy"").",January-13-2018,5
17,"Most of us know while this probably isn't 100% factual, it's more factual than the things that come out of Trump and Huckabee-Sanders' mouths. A fun little read to further enforce 65% of American's perception of his lack of intelligence, empathy, presidential qualifications, integrity, and a professional hairstylist. Purchase this and troll the troll-in-chief!",January-29-2018,5
18,I am sure that this book has been reviewed by people better than I. I will say that it will be in  the future the book quoted as the book that up set the Trump presidency and helped to bring it down.  Besides Trump himself. Even if two thirds of this book is true or false Americans have voted an person into office who has no clue how to govern.,February-17-2018,5
19,"I purchased this book more for amusement, but it has made me feel like a sane person again.  Bravo Michael Wolff. This book reaffirms everything that most grounded people already knew and have observed from the public presence of this administration.  I have spent the past year wondering why know one will call out the obvious behavior of the current President and his staff. Thank goodness Michael Wolff has. There is nothing surprising or shocking about his narrative except for putting the blatantly obvious out there with no concern for ratings or appeasement.  Who cares if quotes are exactly correct or that the correct person said it? The intentions of this chaotic and  self serving White House needs to be transparent to the American people, especially those who havenâ€™t noticed it yet, for all their good intentions.",January-10-2018,5
20,A really fun book with great insights. It sounds also trustworthy to me. A real pageturner.,January-5-2018,5
21,"I bought this book as a Kindle e-book and read it very carefully. My $15 contribution to the First Amendment. Having seen Wolff hit the talk circuits I had to wonder how he had any access to anything as important as the White House. That was trepidation enough until I started reading the book. The book will scare the living daylights out you because whatever you thought the Presidency consisted of, we now know that a rotting corpse could be President if there are sufficient sycophants around to ""take charge"" and advance their own interests. The most interesting aspect of the book are the characterizations of specific individuals: Ivanka ""dumb as a brick,"" Murdoch's characterization of Trump etc.... The book is detail oriented and hammers the point home that NO ONE IS IN CHARGE of the White House and policy making. No one. On the negative side, I had to wonder explicitly where the information comes from. Wolff is slippery on that question. Most of the info is condensed from multiple parties. In other words, it is gossip soup. Apparently, Wolff did tape 'on the record' interviews. It would be interesting to hear some of those first hand reports because, honestly, the book needs more direct citations. After all It is classified as non-fiction. The most interesting take away point is the relationship between the Presidency (any Presidency) and the intelligence community. There is a dance between the President and the FBI, CIA etc.. of which I was totally unaware. This is where Wolff may truly be on to something.",January-10-2018,4
22,"0.oEven more disturbing than I thought it would be. The author is an experienced schmoozer and celebrity writer, which is how and why he had free access to the Trump White House.  His many hours of taped interviews and insights gleaned from being on hand are all here in this book. Front and center in the Three Ring Circus that is the Trump White House.",January-25-2018,5
23,"So he's saying that Bannon and the alt-right, Trumpism movement is going to be kept alive and funded by a collection of billionaires and the 35% who support Bannon's ideology.  I really don't want that future.",January-8-2018,5
24,Absolutely fascinating. I could not put it down. I am glad we still ahve freedom of speech.,January-5-2018,5
