,type,date,count
0,Air Quality,2013-01,529
1,Air Quality,2013-02,464
2,Air Quality,2013-03,558
3,Air Quality,2013-04,524
4,Air Quality,2013-05,625
5,Air Quality,2013-06,563
6,Air Quality,2013-07,555
7,Air Quality,2013-08,760
8,Air Quality,2013-09,662
9,Air Quality,2013-10,645
10,Air Quality,2013-11,471
11,Air Quality,2013-12,426
12,Air Quality,2014-01,502
13,Air Quality,2014-02,390
14,Air Quality,2014-03,605
15,Air Quality,2014-04,594
16,Air Quality,2014-05,656
17,Air Quality,2014-06,720
18,Air Quality,2014-07,724
19,Air Quality,2014-08,659
20,Air Quality,2014-09,618
21,Air Quality,2014-10,586
22,Air Quality,2014-11,513
23,Air Quality,2014-12,508
24,Air Quality,2015-01,459
25,Air Quality,2015-02,582
26,Air Quality,2015-03,642
27,Air Quality,2015-04,724
28,Air Quality,2015-05,918
29,Air Quality,2015-06,853
30,Air Quality,2015-07,793
31,Air Quality,2015-08,712
32,Air Quality,2015-09,769
33,Air Quality,2015-10,736
34,Air Quality,2015-11,651
35,Air Quality,2015-12,548
36,Air Quality,2016-01,520
37,Air Quality,2016-02,605
38,Air Quality,2016-03,694
39,Air Quality,2016-04,764
40,Air Quality,2016-05,1018
41,Air Quality,2016-06,1059
42,Air Quality,2016-07,721
43,Air Quality,2016-08,783
44,Air Quality,2016-09,775
45,Air Quality,2016-10,578
46,Air Quality,2016-11,544
47,Air Quality,2016-12,652
48,Air Quality,2017-01,542
49,Air Quality,2017-02,526
50,Air Quality,2017-03,558
51,Air Quality,2017-04,690
52,Air Quality,2017-05,723
53,Air Quality,2017-06,863
54,Air Quality,2017-07,639
55,Air Quality,2017-08,621
56,Air Quality,2017-09,702
57,Air Quality,2017-10,674
58,Air Quality,2017-11,562
59,Air Quality,2017-12,489
60,Air Quality,2018-01,592
61,Air Quality,2018-02,517
62,Air Quality,2018-03,559
63,Air Quality,2018-04,616
64,Air Quality,2018-05,66
65,New Tree Request,2013-01,598
66,New Tree Request,2013-02,1148
67,New Tree Request,2013-03,1723
68,New Tree Request,2013-04,2906
69,New Tree Request,2013-05,2762
70,New Tree Request,2013-06,1395
71,New Tree Request,2013-07,1751
72,New Tree Request,2013-08,1828
73,New Tree Request,2013-09,1513
74,New Tree Request,2013-10,1825
75,New Tree Request,2013-11,1018
76,New Tree Request,2013-12,721
